,Unnamed: 0,Sales emp_id,Hired Location,Employment Status,Cluster Head emp_id,SEsalescounttotal,SEsalesRevenuetotal,TCcount,TCorderscount,RCcount,...,NCrevenuePerWeek,RCordersPerWeek,RCrevenuePerWeek,TCordersPerWeek,TotalrevenuePerWeek,company_name,salary_weekly,DM_cost_weekly,Cost per week,CoSR_weekly
47,47,Not_assigned,Not_assigned,Not_assigned,Not_assigned,1,27436,1,1,0,...,0,0,0,0,1,8a809b238df5d3a0018e5fe356bf05da,2500,625,3125,0.00032
13,13,SVC 40.00,Dichpally,Active,SVC 32.00,4,87584,4,4,0,...,21624,0,0,1,21625,8a80875a8d18d498018d1b2b82be0016,2500,625,3125,6.92
73,73,SVC 42.00,Alisagar,Active,SVC 32.00,9,151920,9,9,0,...,0,0,0,0,1,8a8081908c2eefef018c587620500116,2500,625,3125,0.00032
23,23,SVC 31.00,Metpally,Active,SVC 32.00,176,1699719,147,176,14,...,79488,3,47233,9,126722,8a80973f8a9cb965018aa2f795720009,2500,625,3125,40.55104
122,122,SVC 49.00,Mancherial,Active,SVC 39.00,1,28655,1,1,0,...,0,0,0,0,1,8a809b238df5d3a0018e3cd1fbfb03de,2500,625,3125,0.00032
59,59,SVC 41.00,Banswada,Active,SVC 32.00,8,168208,7,8,1,...,0,0,0,0,1,8a80973f8a9cb965018aa3173466005d,2500,625,3125,0.00032
50,50,Not_assigned,Not_assigned,Not_assigned,Not_assigned,1,27436,1,1,0,...,0,0,0,0,1,8a809b238df5d3a0018e5fe356bf05da,2500,625,3125,0.00032
159,159,Not_assigned,Not_assigned,Not_assigned,Not_assigned,1,16660,1,1,0,...,0,0,0,0,1,8a809b238df5d3a0018dfe18fca00053,2500,625,3125,0.00032
3,3,SVC 40.00,Dichpally,Active,SVC 32.00,4,87584,4,4,0,...,0,0,0,0,1,8a80875a8d18d498018d1b2b82be0016,2500,625,3125,0.00032
108,108,SVC 49.00,Mancherial,Active,SVC 39.00,1,28655,1,1,0,...,0,0,0,0,1,8a809b238df5d3a0018e3cd1fbfb03de,2500,625,3125,0.00032
